Initial Transient Solution
--------------------------

Node                                   Voltage
b.xu1.be_md4_uvbs_abm18#branch               0
b.xu1.x_md5_uvcc_comp.be1#branch               0
b.xu1.be_md5_uvcc_abm3#branch                0
b.xu1.be_md5_uvcc_abm2#branch                0
b.xu1.x_md1_trig2_comp.be1#branch               0
b.xu1.x_md1_trig1_comp.be1#branch               0
b.xu1.x_md1_trig3_comp.be1#branch               0
e.xu1.e_md3_dlyls_abm13#branch               0
e.xu1.e_md3_dlyls_abm24#branch               0
e.xu1.e_md3_dlyls_abm31#branch               0
e.xu1.e_md3_dlyls_abm14#branch               0
e.xu1.e_md3_dlyls_abm5#branch                0
e.xu1.x_md3_dlyls_comp2.e1#branch               0
e.xu1.x_md3_dlyls_comp1.e1#branch               0
e.xu1.e_md3_dlyhs_abm13#branch               0
e.xu1.e_md3_dlyhs_abm24#branch               0
e.xu1.e_md3_dlyhs_abm31#branch               0
e.xu1.e_md3_dlyhs_abm14#branch               0
e.xu1.e_md3_dlyhs_abm5#branch                0
e.xu1.x_md3_dlyhs_comp2.e1#branch               0
e.xu1.x_md3_dlyhs_comp1.e1#branch               0
e.xu1.e_md3_abm21#branch                     0
e.xu1.x_md4_uvbs_comp.e1#branch          -2e-08
e.xu1.e_md4_uvbs_abm19#branch         0.210152
e.xu1.e_md4_uvbs_abm18#branch        -0.210152
e.xu1.x_md5_uvcc_comp.e1#branch          -3e-08
e.xu1.e_md5_uvcc_abm3#branch              0.15
e.xu1.e_md5_uvcc_abm2#branch             -0.15
e.xu1.x_md1_trig2_comp.e1#branch               0
e.xu1.x_md1_trig1_comp.e1#branch               0
e.xu1.x_md1_trig3_comp.e1#branch               0
v5#branch                          9.95364e-12
v4#branch                         -7.23803e-07
v3#branch                            -0.626777
v2#branch                            -0.623622
v1#branch                          -0.00456783
v.xu1.v_md3_dlyls_vcc2#branch     -3.33555e-06
v.xu1.v_md3_dlyls_vcc1#branch     -3.33444e-06
v.xu1.v_md3_dlyls_v_delay#branch        -2.5e-06
v.xu1.v_md3_dlyhs_vcc2#branch     -4.99999e-06
v.xu1.v_md3_dlyhs_vcc1#branch      -2.0004e-06
v.xu1.v_md3_dlyhs_v_delay#branch        -2.5e-06
v.xu1.v_md4_inv6_v#branch                 -2.5
v.xu1.v_md4_nor2_v#branch           -1.001e-05
v.xu1.v_md4_inv5_v#branch                 -2.5
v.xu1.v_md4_nor1_v#branch                   -2
v.xu1.v_md4_inv4_v#branch                 -2.5
v.xu1.v_md4_inv1_v#branch          -2.5025e-06
v.xu1.v_md4_inv2_v#branch                 -2.5
v.xu1.v_md4_rs_v1#branch              -1666.67
v.xu1.v_md4_inv3_v#branch         -5.00999e-06
v.xu1.v_md5_nand_v#branch         -5.00999e-06
v.xu1.v_md2_nor3b_v#branch        -4.99998e-06
v.xu1.v_md2_nor3a_v#branch        -4.99998e-06
v.xu1.v_md2_rs2_v1#branch         -5.11719e-06
v.xu1.v_md2_rs1_v1#branch         -5.11719e-06
v.xu1.v_md2_inv2_v#branch         -2.50499e-06
v.xu1.v_md2_inv1_v#branch         -2.50499e-06



No. of Data Rows : 275
.end: no such command available in ngspice
